epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
9,5,245,0.5978,0.3525,0.9377,0.345,0.9401
9,6,246,0.6206,0.3513,0.9375,0.3439,0.9394
9,7,247,0.6062,0.3491,0.9376,0.3417,0.9403
9,8,248,0.5582,0.3477,0.9384,0.3402,0.941
9,9,249,0.5775,0.346,0.9385,0.3384,0.9408
9,10,250,0.6151,0.3451,0.9381,0.3382,0.9395
9,11,251,0.5776,0.3442,0.9377,0.3377,0.9392
9,12,252,0.6191,0.3418,0.9379,0.3352,0.94
9,13,253,0.578,0.3413,0.9381,0.3348,0.9406
9,14,254,0.599,0.3391,0.939,0.3329,0.9405
9,15,255,0.6252,0.3366,0.9394,0.3308,0.9408
9,16,256,0.5771,0.3355,0.9395,0.3286,0.9416
9,17,257,0.5875,0.3345,0.9394,0.3283,0.9421
9,18,258,0.5856,0.3326,0.9396,0.3263,0.9418
9,19,259,0.5637,0.3311,0.9399,0.324,0.942
9,20,260,0.6093,0.3298,0.9401,0.323,0.9416
9,21,261,0.5837,0.3288,0.9402,0.3232,0.9415
9,22,262,0.5945,0.3264,0.9406,0.3201,0.9411
9,23,263,0.5759,0.3246,0.9404,0.3183,0.9415
9,24,264,0.586,0.3235,0.9408,0.3173,0.941
9,25,265,0.5675,0.3231,0.9403,0.3166,0.9413
9,26,266,0.5702,0.3214,0.9406,0.3158,0.941
9,27,267,0.582,0.3194,0.9409,0.3139,0.9413
9,28,268,0.5877,0.3186,0.9407,0.3127,0.9416
9,29,269,0.5655,0.3159,0.9413,0.3102,0.9427
9,30,270,0.6018,0.3142,0.9416,0.3092,0.9422
10,1,271,0.5581,0.3159,0.9412,0.3113,0.942
10,2,272,0.56,0.3136,0.9415,0.3088,0.9427
10,3,273,0.5565,0.3112,0.9415,0.3064,0.9421
10,4,274,0.5604,0.3096,0.942,0.3047,0.9421
10,5,275,0.5636,0.3099,0.9417,0.3053,0.9419
10,6,276,0.5496,0.3079,0.9417,0.3036,0.9422
10,7,277,0.5463,0.3075,0.9423,0.3028,0.942
10,8,278,0.549,0.3065,0.9421,0.3021,0.9425
10,9,279,0.5573,0.306,0.9424,0.3013,0.9426
10,10,280,0.572,0.305,0.9429,0.3007,0.9431
10,11,281,0.5532,0.3046,0.9428,0.2999,0.9431
10,12,282,0.6007,0.3029,0.9428,0.2987,0.9432
10,13,283,0.5442,0.3014,0.9428,0.2977,0.9434
10,14,284,0.542,0.2997,0.9433,0.2957,0.9437
10,15,285,0.5224,0.2986,0.9432,0.2947,0.9436
10,16,286,0.5253,0.2967,0.9437,0.2928,0.9449
10,17,287,0.5471,0.2957,0.944,0.2919,0.9452
10,18,288,0.538,0.2943,0.9436,0.2912,0.9448
10,19,289,0.5548,0.2932,0.9441,0.2893,0.9459
10,20,290,0.5612,0.2919,0.9444,0.2883,0.9454
10,21,291,0.5497,0.2918,0.944,0.2876,0.9455
10,22,292,0.5281,0.2908,0.9439,0.2871,0.9446
10,23,293,0.5124,0.289,0.9445,0.2857,0.945
10,24,294,0.5028,0.2874,0.9449,0.2832,0.9459
10,25,295,0.5786,0.2862,0.9452,0.282,0.9462
10,26,296,0.5315,0.2852,0.9457,0.2814,0.9461
10,27,297,0.5222,0.2843,0.9454,0.2801,0.9455
10,28,298,0.5284,0.2825,0.9458,0.278,0.9463
10,29,299,0.5254,0.2818,0.9455,0.2776,0.9475
10,30,300,0.5594,0.2803,0.9456,0.2764,0.947
