epoch,batch,iteration,train_loss(total),train_loss(average),train_accuracy(average),test_loss(average),test_accuracy(average)
12,28,358,1.3817,1.134,0.743,1.1198,0.7529
12,29,359,1.3981,1.1327,0.7437,1.1185,0.7534
12,30,360,1.4305,1.1306,0.7436,1.1165,0.7541
13,1,361,1.3774,1.1306,0.7447,1.1166,0.7556
13,2,362,1.3851,1.1295,0.7449,1.1154,0.7561
13,3,363,1.3751,1.1282,0.744,1.1142,0.7549
13,4,364,1.3713,1.1269,0.7449,1.1131,0.7559
13,5,365,1.3433,1.126,0.7461,1.1123,0.7574
13,6,366,1.3641,1.1243,0.7464,1.1107,0.7565
13,7,367,1.3738,1.1224,0.7475,1.1088,0.7586
13,8,368,1.3741,1.121,0.7475,1.1074,0.759
13,9,369,1.3741,1.1195,0.7487,1.1059,0.7599
13,10,370,1.332,1.1173,0.749,1.1037,0.7595
13,11,371,1.3787,1.1142,0.7498,1.1008,0.7602
13,12,372,1.3653,1.1126,0.75,1.099,0.7599
13,13,373,1.3393,1.1114,0.7497,1.0977,0.7598
13,14,374,1.375,1.1101,0.7505,1.0964,0.7604
13,15,375,1.3591,1.1083,0.7513,1.0945,0.7622
13,16,376,1.346,1.1064,0.7519,1.0924,0.7628
13,17,377,1.3651,1.1048,0.7525,1.0907,0.7637
13,18,378,1.3623,1.1025,0.752,1.0883,0.7638
13,19,379,1.3541,1.0993,0.7533,1.085,0.7652
13,20,380,1.3524,1.098,0.7544,1.0835,0.7675
13,21,381,1.354,1.0958,0.7544,1.0814,0.7678
13,22,382,1.3595,1.0935,0.7544,1.0791,0.7676
13,23,383,1.3335,1.0914,0.7551,1.0771,0.7679
13,24,384,1.3245,1.0908,0.7554,1.0766,0.768
13,25,385,1.3336,1.0894,0.7555,1.0751,0.7672
13,26,386,1.3368,1.088,0.7564,1.0736,0.7692
13,27,387,1.3549,1.0868,0.7561,1.0725,0.7685
13,28,388,1.364,1.0852,0.7554,1.071,0.7667
13,29,389,1.3203,1.0842,0.7562,1.07,0.7669
13,30,390,1.3553,1.0813,0.7562,1.067,0.7673
14,1,391,1.3702,1.0794,0.7551,1.0651,0.7654
14,2,392,1.354,1.0778,0.7563,1.0634,0.7668
14,3,393,1.2952,1.0772,0.7566,1.0629,0.7672
14,4,394,1.3252,1.077,0.7584,1.0626,0.769
14,5,395,1.3437,1.076,0.7594,1.0616,0.7711
14,6,396,1.321,1.0739,0.7602,1.0594,0.7718
14,7,397,1.3168,1.0726,0.7621,1.058,0.7743
14,8,398,1.332,1.0707,0.763,1.0561,0.7757
14,9,399,1.3517,1.07,0.7635,1.0554,0.7766
14,10,400,1.3357,1.0687,0.7643,1.0541,0.7772
14,11,401,1.3569,1.067,0.7651,1.0524,0.7775
14,12,402,1.3119,1.0665,0.7658,1.0521,0.7775
14,13,403,1.3298,1.0643,0.7666,1.05,0.7789
14,14,404,1.3227,1.0639,0.7673,1.0497,0.7794
14,15,405,1.3008,1.0633,0.7678,1.0492,0.7803
14,16,406,1.3055,1.0624,0.7681,1.0483,0.7808
14,17,407,1.3029,1.0613,0.7677,1.0472,0.7797
14,18,408,1.3026,1.0605,0.7677,1.0462,0.7795
14,19,409,1.3382,1.0592,0.7681,1.045,0.7806
14,20,410,1.3082,1.0575,0.7689,1.0432,0.7811
14,21,411,1.3246,1.0557,0.7688,1.0414,0.7808
14,22,412,1.2798,1.0538,0.7691,1.0394,0.7814
14,23,413,1.3081,1.0521,0.7696,1.0375,0.782
14,24,414,1.3047,1.0507,0.7702,1.036,0.7819
14,25,415,1.3042,1.0485,0.7706,1.0336,0.7832
14,26,416,1.3353,1.048,0.7704,1.0331,0.7833
14,27,417,1.2783,1.0465,0.7719,1.0315,0.7848
14,28,418,1.3067,1.0438,0.7726,1.0289,0.7853
14,29,419,1.3099,1.0418,0.7725,1.0269,0.7856
14,30,420,1.3549,1.0385,0.7726,1.0236,0.7853
15,1,421,1.2923,1.0366,0.7729,1.0218,0.7859
15,2,422,1.3111,1.0355,0.7731,1.0207,0.7863
15,3,423,1.3364,1.0339,0.7722,1.0191,0.7854
15,4,424,1.3056,1.0322,0.7723,1.0175,0.7854
15,5,425,1.2959,1.0297,0.7718,1.0151,0.785
15,6,426,1.2702,1.0286,0.7721,1.0139,0.785
15,7,427,1.28,1.027,0.7726,1.0123,0.7856
15,8,428,1.2547,1.0257,0.7727,1.011,0.7856
15,9,429,1.2683,1.0246,0.7733,1.0101,0.7864
15,10,430,1.2892,1.0247,0.7746,1.0099,0.7878
15,11,431,1.254,1.0243,0.7757,1.0095,0.7888
15,12,432,1.3162,1.0224,0.7758,1.0077,0.788
15,13,433,1.2812,1.0213,0.7761,1.0065,0.789
15,14,434,1.2815,1.0196,0.7771,1.0046,0.7899
15,15,435,1.2549,1.0193,0.7782,1.0042,0.7914
15,16,436,1.2714,1.0182,0.7792,1.0031,0.7927
15,17,437,1.2432,1.0168,0.7813,1.0017,0.7947
15,18,438,1.2672,1.0143,0.7817,0.999,0.7945
15,19,439,1.2617,1.0136,0.7832,0.9982,0.7965
15,20,440,1.2437,1.0122,0.7843,0.9968,0.7972
15,21,441,1.2561,1.011,0.7856,0.9957,0.7971
15,22,442,1.2622,1.0092,0.7866,0.994,0.7986
15,23,443,1.2353,1.0086,0.7879,0.9936,0.8001
15,24,444,1.2512,1.0075,0.7875,0.9923,0.7993
15,25,445,1.2,1.0057,0.7887,0.9906,0.8008
15,26,446,1.257,1.0041,0.7874,0.989,0.7995
15,27,447,1.2481,1.0023,0.7874,0.9872,0.8002
15,28,448,1.2369,1.0007,0.7873,0.9855,0.8004
15,29,449,1.2608,1.001,0.7874,0.9855,0.8008
15,30,450,1.2687,0.9996,0.7876,0.9843,0.8006
